qid	type	label
Q528770	loge	Liberté chérie
Q5361097	loge	Tanchelijn
Q5552214	loge	
Q55603297	loge	African Lodge No. 459
Q55658013	loge	
Q5587234	loge	Goshamahal Baradari
Q5594751	obédience	Grande Loge du Canada de la province d'Ontario
Q5594752	obédience	Grande Loge du Connecticut
Q5594753	obédience	Grande Loge d'Idaho
Q5594755	obédience	Grande Loge de Colombie
Q5594757	obédience	Grande Loge de Kansas
Q5594758	obédience	Grande Loge du Kentucky
Q5594760	obédience	Grande Loge de l'Inde
Q5594761	obédience	Grande Loge du Manitoba
Q5594762	obédience	Grande Loge du Massachusetts
Q5594763	obédience	Grande Loge du Minnesota
Q5594764	obédience	Grande Loge du Michigan
Q5594765	obédience	Grande Loge du Nebraska
Q5594766	obédience	Grande Loge de New-York
Q5594768	obédience	Grande Loge du Dakota du nord
Q5594770	obédience	Grande Loge de l'Ohio
Q5594771	obédience	Grande Loge du Texas
Q5594772	obédience	Grande Loge de Virginie
Q5594773	obédience	Grande Loge du Virginie occidentale
Q5594774	obédience	Grande Loge de république Dominicaine
Q5594778	obédience	Grande Loge d'Espagne
Q5595325	obédience	Grande Oriente Español
Q5802757	loge|obédience	Grande Loge Symbolique Espagnole
Q5881011	loge	Holland Lodge
Q5884373	loge|obédience	Grand Lodge of Uruguay
Q5884395	obédience	
Q5884494	obédience	
Q592847	loge	Souveräner GrossOrient von Deutschland
Q5952893	loge	Le Reveile de l'Iran
Q5978346	loge	
Q60609170	loge	
Q61051531	loge	
Q61104977	obédience	Grand Lodge of Armenia
Q62609453	loge	
Q62804810	loge	Carl zur gekrönten Säule
Q63174255	loge	Pilar Lodge No. 3
Q64005968	loge	Zum flammenden Schwert
Q64168109	loge	Hamilton Memorial Masonic Lodge
Q64762664	loge	Loge Les enfants de la concorde fortifiée
Q64966925	loge	Suffolk Lodge No. 60
Q650732	loge	Neuf Sœurs
Q65557950	loge	Rapid City Masonic Lodge
Q65617534	loge	L'Écho du Grand Orient
Q65617695	loge	Tolérance et Union
Q65618015	loge	Le Progrès
Q65618288	loge	La Ligne droite
Q65618903	loge	La Philanthropique
Q65618929	loge	L'Avenir cévenol
Q65618985	loge	La Réunion
Q65619021	loge	L'Étoile des Cévennes
Q65619754	loge	La Parfaite Union
Q65619783	loge	La Philanthropie
Q65619818	loge	loge Écho 1
Q65619830	loge	Le Bienfait anonyme
Q65643729	loge	Progrès-Humanité
Q65643756	loge	La Marche en avant
Q65643812	loge	Le Réveil des Cévennes
Q65643816	loge	Le Réveil cévenol
Q65643830	loge	Acacia du Gard
Q65643866	loge	Progrès et Humanité
Q65645061	loge	Les Philanthropes réunis
Q65645838	loge	Les Amis rassemblés par la vertu
Q65646490	loge	Les Cœurs réunis
Q65647378	loge	L'Inaltérable Amitié
Q65770969	loge	loge Villard de Honnecourt
Q6666326	loge	Lodge St. Olaus to the white Leopard
Q68487729	loge	
Q68902806	loge	loge Fraternité
Q69795698	loge	L'Étoile occidentale
Q7023677	loge	
Q7100564	obédience	Ordre des femmes franc-maçons
Q7100685	obédience	Order of the Secret Monitor
Q72187547	loge	Loge l'Amitié de Bordeaux
Q726678	loge	Les Amis philanthropes
Q731738	obédience	Le Droit humain
Q7374651	obédience	ordre royal d'Écosse
Q7558531	loge	Solomon's Lodge, Savannah
Q7588765	loge	St. John's Lodge, Portsmouth, New Hampshire
Q7603370	loge	Old State House
Q76356831	loge	Les Arts réunis
Q7654098	loge	E. S. Swayze Drugstore
Q769231	loge	Loge Lautaro
Q7766139	loge	The St. Andrew lodge Oscar to the burning star
Q7777087	loge	The old Masonic Lodge in Lębork
Q7886023	obédience	George Washington Union
Q7887828	obédience	United Grand Lodge of New South Wales and the Australian Capital Territory
Q79300870	loge	Cromwell Kilwinning Lodge No 98
Q79302436	loge	Lake Lodge of Ophir
Q79309424	loge	Lodge of Unanimity No 3
Q798379	loge|obédience	Frères asiatiques
Q81216177	loge	Loge De Ster in het Oosten (Bilthoven)
Q81216535	loge	Loge L’Inséparable
Q81216554	loge	Loge De Drie Kolommen
Q81216956	loge	Loge Le Profond Silence
Q81322699	loge	Loge De Waare Broedertrouw
Q81322707	loge	Loge De Noordstar
Q81323037	loge	Loge Deugd en IJver
Q81323610	loge	Loge De Geldersche Broederschap
Q81323886	loge	Loge Vicit Vim Virtus
Q81324156	loge	Loge Le Préjugé Vaincu
Q81324356	loge	Loge De Friesche Trouw
Q81324606	loge	Loge La Compagnie Durable
Q81324974	loge	Loge De Edelmoedigheid
Q81325406	loge	Loge De Vergenoeging
Q81326010	loge	Loge Fides Mutua
Q81373798	loge	Loge Orde en Vlijt
Q81391381	loge	Loge L’Aurore
Q81393845	loge	Loge La Persévérance (Maastricht)
Q81394658	loge	Loge La Charité
Q81395115	loge	Lodge Concordia (Paramaribo)
Q81402717	loge	Loge Concordia Vincit Animos
Q81407214	loge	Loge La Bien Aimée
Q81409946	loge	Loge La Paix
Q82805135	loge	Loge West Friesland
Q82810612	loge	Lodge Karel van Zweden
Q82896661	loge	Torche du Nord
Q83154119	loge	
Q83177762	loge	Loge Acacia
Q83178547	loge	Loge Jacob van Campen
Q83185513	loge	Loge Hiram Abiff
Q83186385	loge	Loge Broedertrouw
Q83335423	loge	Loge De Achterhoek
Q83367497	loge	Loge Moed en Volharding
Q83367715	loge	Loge Tubantia
Q83368342	loge	Loge De Veluwe
Q83368825	loge	Loge Het Noorderlicht
Q83630385	loge	Union and Progress Masonic Lodge
Q84399729	loge	
Q84571836	loge	Loge Ad Lucem et Pacem
Q84571921	loge	Loge Kennemerland
Q84572469	loge	Loge De Vriendschap
Q84572492	loge	Loge In Vrijheid Eén
Q84750349	loge	Loge Ken U Zelven
Q84755630	loge	Loge De Gooische Broederschap
Q85081439	loge	Lumière et Justice
Q85802888	loge	St. John's Lodge
Q86667326	loge	
Q86674619	loge	
Q87037948	loge	Réunion des amis choisis
Q87336981	loge	
Q87996852	obédience	Grand Lodge of North Carolina
Q882995	obédience	Grande Loge des anciens maçons libres et acceptés d'Allemagne
Q88463644	loge	loge Indépendance et Progrès
Q887508	loge	
Q8964885	obédience	Grand lodge of Catalonia
Q9068290	loge	Manuel Iradier
Q9178198	loge	
Q9195128	loge	
Q9198801	loge	
Q9210709	loge	Masonic Lodge in Kętrzyn
Q92811346	loge	Freemason's lodge "Friend of Humanity"
Q932593	obédience	Grande Loge féminine de France
Q9336899	loge	
Q9343576	loge	
Q9351617	loge	Szkoła Sokratesa
Q9362201	loge	Trois Frères
Q9368729	loge	
Q9372990	loge	
Q9396537	loge	
Q954078	loge	Propaganda Due
Q959344	loge|obédience	Grande Loge de France
Q96016145	loge	Le Liban (loge maçonnique)
Q96606139	loge	loge maçonnique de Rueil-Malmaison
Q96984455	loge	Kayssoun
Q97208448	loge	
Q97231607	obédience	Grand Symbolic Lodge of Croatia
Q97231623	loge	Grand Regular Lodge of Croatia
Q97924205	loge	La Concorde
Q97924511	loge	L'Aurore sociale
Q98959812	loge	Fidélité et Travail
Q99469793	loge	Les Droits de l'Homme
